iter	Passed	Remaining
427	4085	5459
428429	4093	54429430	4102	54430431	4112	54431432	4120	53432433	4132	53433434	4143	53434435	4151	53435436	4157	53436437	4168	53437438	4180	53438439	4192	5335
440	4203	53440441	4219	53441442	4229	53442443	4239	53443444	4250	53444	4265	5319
445	4275	5310
446	4286	5302
447	4296	5294
448	4305	5284
449	4320	5280
450	4334	5276
451	4346	5269
452	4355	5259
453454	4359	52454	4376	5242
455	4387	5234
456	4394	5221
457	4401	5208
458	4413	5201
459	4421	5190
460	4433	5183
461	4444	5175
462	4454	5166
463	4463	5155
464	4469	5142
465	4482	5136
466	4493	5128
467	4501	5117
468469	4507	50469	4519	5096
470	4530	5088
471	4541	5079
472	4548	5067
473	4560	5061
474	4568	5049
475	4578	5040
476	4589	5031
477	4596	5019
478	4605	5008
479480	4610	49480481	4616	49481482	4627	49482483	4640	49483484	4653	49484485	4664	49485486	4677	49486487	4686	49487488	4697	49488489	4708	49489490	4720	48490491	4734	48491492	4746	48492493	4759	48493494	4771	4867
495	4777	48495496	4787	48496497	4795	48497498	4804	48498499	4812	48499500	4821	48500	4832	4813
501	4846	4807
502	4856	4798
503504	4861	47504	4879	4782
505	4891	4775
506	4899	4763
507	4909	4755
508	4922	4748
509510	4927	47510	4944	4731
511	4957	4724
512	4966	4714
513	4977	4706
514515	4981	46515516	4992	46516517	5004	46517518	5016	46518519	5029	46519520	5042	4636
521	5055	4629
522	5067	4621
523	5076	4611
524	5086	4602
525	5092	4589
526	5102	4579
527	5112	4569
528	5122	4560
529	5132	4551
530	5141	4540
531	5152	4533
532	5160	4521
533	5170	4512
534	5183	4504
535	5189	4492
536	5197	4481
537	5208	4472
538	5220	4464
539	5228	4454
540	5237	4443
541	5245	4432
542	5256	4424
543	5269	4417
544	5283	4411
545	5295	4402
546	5301	4390
547	5308	4378
548	5318	4369
549	5331	4362
550	5341	4352
551	5351	43551552	5371	43552553	5386	4336
554	5393	4324
555	5404	4316
556	5416	4308
557	5429	4300
558	5443	4294
559	5454	4285
560	5465	4276
561	5480	4271
562	5491	42562563	5504	42563564	5520	42564565	5535	4244
566	5550	4239
567	5567	4234
568	5582	4228
569	5592	4218
570	5603	4210
571	5613	4200
572	5623	4190
573	5634	4181
574	5643	4171
575	5652	4161
576	5663	4151
577	5675	4143
578	5686	4134
579	5696	4125
580	5706	4115
581	5715	4105
582	5724	4094
583	5734	4085
584	5747	4077
585	5760	4069
586	5768	4058
587	5777	4048
588	5789	4039
589	5798	4029
590	5808	4019
591	5818	4009
592	5828	4000
593	5841	3992
594	5853	3984
595	5864	3975
596	5879	3968
597	5893	3962
598	5907	3954
599	5920	3947
600	5930	601	5601	5938	602	5602	5947	603	5955	3904
604	5966	3895
605	5977	3886
606	5995	3882
607	6005	3872
608	6015	3862
609	6023	3851
610	6034	3842
611	6047	3834
612	6058	3825
613	6067	3814
614	6074	3802
615	6088	3795
616	6096	3784
617	6107	3775
618	6116	3764
619	6126	3754
620	6135	3744
621	6145	3734
622	6152	3723
623	6162	3713
624	6170	3702
625	6181	3693
626	6187	3680
627	6198	3671
628	6209	3662
629	6217	3651
630	6227	3641
631	6235	3631
632	6244	3620
633	6253	3610
634	6263	3600
635	6271	3589
636	6280	3579
637	6290	3569
638	6302	3560
639	6639	6318	640	6321	3540
641	6330	3530
642	6337	3518
643	6348	3509
644	6357	3498
645	6645	6373	646	6646	6382	647	6647	6393	648	6397	3459
649	6408	3450
65649	6428	34665650	6440	34565651	6456	3446
652	6462	3434
653	6474	3425
654	6485	3415
655	6493	34065656	6506	3396
657	6515	3386
658	6527	3377
659	6537	33666660661	6541	66661	6555	33466662	6567	33366663664	6573	66664665	6584	66665666	6593	66666667	6603	66667668	6615	66668669	6621	67669670	6631	671	6632	3237
67671672	6653	67672673	6663	67673674	6672	67674675	6684	32675676	6694	31676677	6705	3184
678	6719	3176
679	6727	3165
680	6738	3156
681	6746	3145
682	6755	3135
