iter	Logloss
0	0.6764870891
1	0.6557207469
2	0.635265953
3	0.6172257095
4	0.5993671641
5	0.582710319
6	0.5673890046
7	0.5509101309
8	0.5351584668
9	0.5193296367
10	0.5052964021
11	0.4917357759
12	0.4806344851313	0.4697359986
14	0.4571275211515	0.4461308865
16	0.4335717081717	0.4204427718	18	0.4086072919	19	0.3973927720	20	0.3844528721	21	0.3751506514
22	0.3640865011
23	0.3522130929
24	0.3426309265
25	0.3330889363
26	0.3248552462
27	0.3159127345
28	0.3068676872
29	0.2981337430	30	0.2911992155
31	0.2835042356
32	0.2760044095
33	0.2692618063
34	0.2623115648
35	0.2571167436
36	0.2524238099
37	0.2459950903
38	0.2399335905
39	0.2336616368
40	0.228022391
41	0.2212557612
42	0.2159600214
43	0.2106657393
44	0.204776045	045	0.200554646	046	0.195082747	047	0.190283048	048	0.185598949	049	0.180761150	050	0.176209951	51	0.1723280152	52	0.16824653	0.53	0.16443154	0.54	0.1611615555	55	0.15773456	0.56	0.15428257	057	0.150406458	058	0.147096259	059	0.144088760	60	0.1411340461	0.1381646242
62	0.1346217829
63	0.1313441877
64	0.1290017859
65	0.1255696999
6666	0.1227764476767	0.1199857468	0.1175332344
69	0.1150010032
70	0.1125561586
71	0.1095209502
72	0.1068668611
73	0.1049313076
74	0.1029834914
75	0.1005964309776	0.09851453331777	0.09622521707878	0.09428365207979	0.09249701268080	0.09063178068181	0.08892432798
82	0.08729399995
83	0.08547454339
84	0.08378020513
85	0.08214593375
86	0.08052149838
87	0.07917922105
88	0.07787335591
89	0.0763949885
90	0.07517214719
91	0.07389965497
92	0.07243341401
93	0.07118685001
94	0.06990797036
95	0.06875999411
96	0.06734185206
97	0.0658515713
98	0.06473849407
99	0.06336610367
100	0.06207411708
101	0.06080795185
102	0.05966268585
103	0.0586185566
104	0.05761236071
105	0.0568425419
106	0.05579945968
107	0.05466304288
108	0.05409398476
109	0.0529886327
110	0.05189728616
111	0.0511548218
112	0.05030866774
113	0.04955277993
114	0.04885027721
115	0.04780361691
116	0.04702969607
117	0.0462276468
118	0.04564029319
119	0.04508829346
120	0.04425404824
121	0.04347446437
122	0.04278280719
123	0.04220982297
124	0.04154279028
125	0.04093354456
126	0.04035678197
127	0.03989286762
128	0.0393011422
129	0.03854028014
130	0.03789663766
131	0.03719719256
132	0.03668372343
133	0.03620275088
134	0.03568452497
135	0.03513955852
136	0.0346082694
137	0.03409219745
138	0.03353717501
139	0.03298622775
140	0.03254014728
141	0.03209080657
142	0.03167216656
143	0.03130206949
144	0.03093141296
145	0.03038497636
146	0.03001939921
147	0.0296978059
148	0.02921293738
149	0.02880918529
150	0.02846636711
151	0.02800513089
152	0.02762027172
153	0.02727675224
154	0.02692610731
155	0.02653867436
156	0.02631555698
157	0.02597653208
158	0.0256240538
